group	motion	source_path	frames	fps	duration_s	root_z_min	root_z_max	root_up_z_min	tracking_body_z_min	review_hint	notes
punching	MA_Punching_Techniques_00039_t800_tracking	/data2/yangky/test/datasets/MotionDecode_T800_aligned/tracking_npz/samples/4.Martial_Arts/Punching_Techniques/MA_Punching_Techniques_00039_t800_tracking.npz	713	50.000	14.260	0.9132	1.2049	0.5405	0.0418	normal_numeric_hint	
punching	MA_Punching_Techniques_00040_t800_tracking	/data2/yangky/test/datasets/MotionDecode_T800_aligned/tracking_npz/samples/4.Martial_Arts/Punching_Techniques/MA_Punching_Techniques_00040_t800_tracking.npz	713	50.000	14.260	0.9724	1.1108	0.6258	0.0547	normal_numeric_hint	
punching	MA_Punching_Techniques_00041_t800_tracking	/data2/yangky/test/datasets/MotionDecode_T800_aligned/tracking_npz/samples/4.Martial_Arts/Punching_Techniques/MA_Punching_Techniques_00041_t800_tracking.npz	593	50.000	11.860	0.9145	1.1019	0.9823	0.0246	normal_numeric_hint	
punching	MA_Punching_Techniques_00042_t800_tracking	/data2/yangky/test/datasets/MotionDecode_T800_aligned/tracking_npz/samples/4.Martial_Arts/Punching_Techniques/MA_Punching_Techniques_00042_t800_tracking.npz	593	50.000	11.860	0.8888	1.1900	0.9343	0.0312	normal_numeric_hint	
punching	MA_Punching_Techniques_00043_t800_tracking	/data2/yangky/test/datasets/MotionDecode_T800_aligned/tracking_npz/samples/4.Martial_Arts/Punching_Techniques/MA_Punching_Techniques_00043_t800_tracking.npz	593	50.000	11.860	0.8670	1.1131	0.9749	0.0408	normal_numeric_hint	
punching	MA_Punching_Techniques_00044_t800_tracking	/data2/yangky/test/datasets/MotionDecode_T800_aligned/tracking_npz/samples/4.Martial_Arts/Punching_Techniques/MA_Punching_Techniques_00044_t800_tracking.npz	593	50.000	11.860	0.9267	1.1626	0.4428	0.0421	normal_numeric_hint	
required_retargeted	accad_e3_cross_left_stageii	/data2/yangky/test/whole_body_tracking/artifacts/required_motion_T800/gmr_pkl/accad_e3_cross_left_stageii.pkl	98	30.000	3.267	0.7311	0.8134	0.9274		normal_numeric_hint	
required_retargeted	accad_e4_cross_right_stageii	/data2/yangky/test/whole_body_tracking/artifacts/required_motion_T800/gmr_pkl/accad_e4_cross_right_stageii.pkl	73	29.796	2.450	0.7804	0.8770	0.8642		normal_numeric_hint	
required_retargeted	fall_male1_crouch_to_prone_stageii	/data2/yangky/test/whole_body_tracking/artifacts/required_motion_T800/gmr_pkl/fall_male1_crouch_to_prone_stageii.pkl	198	30.000	6.600	0.2718	0.7520	0.0651		normal_numeric_hint	
required_retargeted	fall_male1_crouch_to_supine_stageii	/data2/yangky/test/whole_body_tracking/artifacts/required_motion_T800/gmr_pkl/fall_male1_crouch_to_supine_stageii.pkl	236	29.905	7.892	0.2255	0.6738	-0.0017		normal_numeric_hint	
required_retargeted	fall_male2_crouch_to_supine_stageii	/data2/yangky/test/whole_body_tracking/artifacts/required_motion_T800/gmr_pkl/fall_male2_crouch_to_supine_stageii.pkl	172	30.000	5.733	0.2988	0.7710	-0.0803		normal_numeric_hint	
required_retargeted	getup_female1_supine_to_crouch_stageii	/data2/yangky/test/whole_body_tracking/artifacts/required_motion_T800/gmr_pkl/getup_female1_supine_to_crouch_stageii.pkl	131	30.000	4.367	0.2380	0.7941	-0.3844		normal_numeric_hint	
required_retargeted	getup_male1_supine_to_crouch_stageii	/data2/yangky/test/whole_body_tracking/artifacts/required_motion_T800/gmr_pkl/getup_male1_supine_to_crouch_stageii.pkl	225	29.900	7.525	0.1866	0.4996	0.0271		normal_numeric_hint	
required_retargeted	getup_male2_supine_to_crouch_stageii	/data2/yangky/test/whole_body_tracking/artifacts/required_motion_T800/gmr_pkl/getup_male2_supine_to_crouch_stageii.pkl	142	29.947	4.742	0.2487	0.5492	-0.0099		normal_numeric_hint	
required_retargeted	transition_male2_crouch_to_ready_stageii	/data2/yangky/test/whole_body_tracking/artifacts/required_motion_T800/gmr_pkl/transition_male2_crouch_to_ready_stageii.pkl	112	29.800	3.758	0.4930	0.9134	0.7315		normal_numeric_hint	
